postId,caption,likes,comments_count,shares,timestamp
post_001,"Just launched our new product! ðŸš€ So excited to share this with everyone. #innovation #tech #startup",1250,89,156,"2024-01-15T10:30:00Z"
post_002,"Beautiful sunset today ðŸŒ… Nature never fails to amaze me",450,23,12,"2024-01-16T18:45:00Z"
post_003,"Feeling frustrated with the current situation. Need to find better solutions",120,45,8,"2024-01-17T14:20:00Z"
post_004,"Amazing day at the conference! Met so many inspiring people #networking #conference",890,67,98,"2024-01-18T16:00:00Z"
post_005,"Coffee and coding â˜• Perfect way to start the day",320,18,5,"2024-01-19T08:15:00Z"
post_006,"This is terrible! Completely disappointed with the service quality",95,78,23,"2024-01-20T11:30:00Z"
post_007,"Celebrating 1 million followers! Thank you all for the amazing support ðŸŽ‰ #milestone",2100,234,312,"2024-01-21T12:00:00Z"
post_008,"Working on something big! Can't wait to reveal it soon ðŸ”¥",670,45,67,"2024-01-22T09:30:00Z"
post_009,"Just another regular day. Nothing special happening",180,12,3,"2024-01-23T15:20:00Z"
post_010,"Absolutely love this new feature! Game changer for productivity ðŸ’ª",980,89,124,"2024-01-24T10:45:00Z"
post_011,"So angry about this! This should not have happened",65,34,12,"2024-01-25T13:15:00Z"
post_012,"Weekend vibes! Time to relax and recharge ðŸŒ´",540,31,19,"2024-01-26T17:00:00Z"
post_013,"Thrilled to announce our partnership! Exciting times ahead âš¡",1450,112,189,"2024-01-27T11:00:00Z"
post_014,"Neutral update: System maintenance completed successfully",250,15,4,"2024-01-28T09:00:00Z"
post_015,"Best day ever! Everything went perfectly today ðŸ˜Š",720,56,78,"2024-01-29T14:30:00Z"
post_016,"Hate dealing with these issues. Very frustrating experience",88,42,15,"2024-01-30T10:20:00Z"
post_017,"New tutorial out now! Check it out #tutorial #learning #education",1120,95,145,"2024-02-01T08:00:00Z"
post_018,"Feeling pumped! Ready to tackle new challenges ðŸ”¥",590,38,52,"2024-02-02T12:30:00Z"
post_019,"Standard procedure update: No changes required",195,8,2,"2024-02-03T16:00:00Z"
post_020,"Wonderful feedback from our users! So happy to help ðŸ’™",830,72,96,"2024-02-04T13:45:00Z"
